run_id,application,endpoint,method,vulnerability_type,severity,evidence,status
run_002,crAPI,http://host.docker.internal:8888,GET,Content Security Policy (CSP) Header Not Set,Medium,ZAP alert count=1; evidence: <p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attack,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Missing Anti-clickjacking Header,Medium,ZAP alert count=1; evidence: <p>The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with ',needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Cross-Origin-Embedder-Policy Header Missing or Invalid,Low,ZAP alert count=1; evidence: <p>Cross-Origin-Embedder-Policy header is a response header that prevents a document from loading any cross-origin resou,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Cross-Origin-Opener-Policy Header Missing or Invalid,Low,ZAP alert count=1; evidence: <p>Cross-Origin-Opener-Policy header is a response header that allows a site to control if others included documents sha,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Cross-Origin-Resource-Policy Header Missing or Invalid,Low,ZAP alert count=5; evidence: <p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resou,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Permissions Policy Header Not Set,Low,ZAP alert count=3; evidence: <p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of b,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888/images/favicon.ico,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,ZAP alert count=5; evidence: openresty/1.27.1.2,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888/static/js/main.8c78208c.js,GET,Timestamp Disclosure - Unix,Low,ZAP alert count=2; evidence: 1540483477,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,X-Content-Type-Options Header Missing,Low,ZAP alert count=5; evidence: <p>The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet,needs_manual_review
run_002,crAPI,http://host.docker.internal:8888,GET,Modern Web Application,Informational,"ZAP alert count=1; evidence: <script defer=""defer"" src=""/static/js/main.8c78208c.js""></script>",needs_manual_review
run_002,crAPI,http://host.docker.internal:8888/images/favicon.ico,GET,Storable and Cacheable Content,Informational,"ZAP alert count=5; evidence: <p>The response contents are storable by caching components such as proxy servers, and may be retrieved directly from th",needs_manual_review
run_004,VAmPI,http://host.docker.internal:5000,GET,Cross-Origin-Resource-Policy Header Missing or Invalid,Low,ZAP alert count=1; evidence: <p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resou,needs_manual_review
run_004,VAmPI,http://host.docker.internal:5000,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,ZAP alert count=3; evidence: Werkzeug/2.2.3 Python/3.11.16,needs_manual_review
run_004,VAmPI,http://host.docker.internal:5000,GET,X-Content-Type-Options Header Missing,Low,ZAP alert count=1; evidence: <p>The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet,needs_manual_review
run_004,VAmPI,http://host.docker.internal:5000,GET,Storable and Cacheable Content,Informational,"ZAP alert count=3; evidence: <p>The response contents are storable by caching components such as proxy servers, and may be retrieved directly from th",needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Content Security Policy (CSP) Header Not Set,Medium,ZAP alert count=5; evidence: <p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attack,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Missing Anti-clickjacking Header,Medium,ZAP alert count=5; evidence: <p>The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with ',needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/solutions,GET,Source Code Disclosure - Python,Medium,"ZAP alert count=1; evidence: 

for password in passwordlist:",needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Cookie No HttpOnly Flag,Low,ZAP alert count=2; evidence: Set-Cookie: env,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Cookie without SameSite Attribute,Low,ZAP alert count=2; evidence: Set-Cookie: env,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/about,GET,Cross-Origin-Embedder-Policy Header Missing or Invalid,Low,ZAP alert count=3; evidence: <p>Cross-Origin-Embedder-Policy header is a response header that prevents a document from loading any cross-origin resou,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/about,GET,Cross-Origin-Opener-Policy Header Missing or Invalid,Low,ZAP alert count=3; evidence: <p>Cross-Origin-Opener-Policy header is a response header that allows a site to control if others included documents sha,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/audit,GET,Cross-Origin-Resource-Policy Header Missing or Invalid,Low,ZAP alert count=5; evidence: <p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resou,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/$%7Burl%7D,GET,Permissions Policy Header Not Set,Low,ZAP alert count=5; evidence: <p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of b,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,X-Content-Type-Options Header Missing,Low,ZAP alert count=5; evidence: <p>The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Modern Web Application,Informational,"ZAP alert count=5; evidence: <a class=""nav-link dropdown-toggle"" href=""#"" id=""difficulty"" role=""button"" data-toggle=""dropdown""
            aria-haspopup=""true"" aria-expanded=""false"">
            <i class=""fa fa-cubes""></i>
          </a>",needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/graphiql,GET,Non-Storable Content,Informational,ZAP alert count=1; evidence: 400,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013,GET,Session Management Response Identified,Informational,ZAP alert count=3; evidence: env,needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/$%7Burl%7D,GET,Storable and Cacheable Content,Informational,"ZAP alert count=5; evidence: <p>The response contents are storable by caching components such as proxy servers, and may be retrieved directly from th",needs_manual_review
run_005,DVGA,http://host.docker.internal:5013/static/all.css,GET,Storable but Non-Cacheable Content,Informational,ZAP alert count=4; evidence: no-cache,needs_manual_review
